year,sex,age,state,value
2021,female,40-44,M,1292.0
2021,female,40-44,S,999.0
2021,female,40-44,W,22.0
2021,female,40-44,V,396.0
2021,male,45-49,M,2879.0
2021,male,45-49,S,4203.0
2021,male,45-49,W,62.0
2021,male,45-49,V,1556.0
2021,female,45-49,M,2390.0
2021,female,45-49,S,1571.0
2021,female,45-49,W,57.0
2021,female,45-49,V,944.0
2021,male,50-54,M,4558.0
2021,male,50-54,S,5999.0
2021,male,50-54,W,125.0
2021,male,50-54,V,2789.0
2021,female,50-54,M,3901.0
2021,female,50-54,S,2003.0
2021,female,50-54,W,169.0
2021,female,50-54,V,1368.0
2021,male,55-59,M,7405.0
2021,male,55-59,S,6819.0
2021,male,55-59,W,273.0
2021,male,55-59,V,4136.0
2021,female,55-59,M,5077.0
2021,female,55-59,S,1912.0
2021,female,55-59,W,398.0
2021,female,55-59,V,1731.0
2021,male,60-64,M,12826.0
2021,male,60-64,S,8467.0
2021,male,60-64,W,683.0
2021,male,60-64,V,5692.0
2021,female,60-64,M,7254.0
2021,female,60-64,S,1879.0
2021,female,60-64,W,1103.0
2021,female,60-64,V,2126.0
2021,male,65-69,M,25628.0
2021,male,65-69,S,11958.0
2021,male,65-69,W,2066.0
2021,male,65-69,V,8622.0
2021,female,65-69,M,12431.0
2021,female,65-69,S,2387.0
2021,female,65-69,W,2968.0
2021,female,65-69,V,3366.0
2021,male,70-74,M,56482.0
2021,male,70-74,S,15726.0
2021,male,70-74,W,6504.0
2021,male,70-74,V,14233.0
2021,female,70-74,M,22877.0
2021,female,70-74,S,3866.0
2021,female,70-74,W,9719.0
2021,female,70-74,V,6269.0
2021,male,75-79,M,70074.0
2021,male,75-79,S,9389.0
2021,male,75-79,W,11559.0
2021,male,75-79,V,11149.0
2021,female,75-79,M,25641.0
2021,female,75-79,S,3692.0
2021,female,75-79,W,20749.0
2021,female,75-79,V,6511.0
2021,male,80+,M,257848.0
2021,male,80+,S,11276.0
2021,male,80+,W,124674.0
2021,male,80+,V,17405.0
2021,female,80+,M,71777.0
2021,female,80+,S,25035.0
2021,female,80+,W,413906.0
2021,female,80+,V,27797.0
2020,male,15-19,M,3.0
2020,male,15-19,S,812.0
2020,male,15-19,W,0.0
2020,male,15-19,V,1.0
2020,female,15-19,M,1.0
2020,female,15-19,S,442.0
2020,female,15-19,W,0.0
2020,female,15-19,V,2.0
2020,male,20-24,M,38.0
2020,male,20-24,S,1426.0
2020,male,20-24,W,1.0
2020,male,20-24,V,18.0
2020,female,20-24,M,30.0
2020,female,20-24,S,647.0
2020,female,20-24,W,1.0
2020,female,20-24,V,17.0
2020,male,25-29,M,146.0
2020,male,25-29,S,1262.0
2020,male,25-29,W,3.0
2020,male,25-29,V,78.0
2020,female,25-29,M,109.0
2020,female,25-29,S,591.0
2020,female,25-29,W,2.0
2020,female,25-29,V,55.0
2020,male,30-34,M,400.0
2020,male,30-34,S,1382.0
2020,male,30-34,W,4.0
2020,male,30-34,V,168.0
2020,female,30-34,M,288.0
2020,female,30-34,S,538.0
2020,female,30-34,W,5.0
2020,female,30-34,V,109.0
2020,male,35-39,M,752.0
2020,male,35-39,S,1651.0
2020,male,35-39,W,8.0
2020,male,35-39,V,345.0
2020,female,35-39,M,666.0
2020,female,35-39,S,732.0
2020,female,35-39,W,8.0
2020,female,35-39,V,225.0
2020,male,40-44,M,1485.0
2020,male,40-44,S,2548.0
2020,male,40-44,W,20.0
2020,male,40-44,V,761.0
2020,female,40-44,M,1312.0
2020,female,40-44,S,1042.0
2020,female,40-44,W,26.0
2020,female,40-44,V,477.0
2020,male,45-49,M,2916.0
2020,male,45-49,S,4265.0
2020,male,45-49,W,48.0
2020,male,45-49,V,1648.0
2020,female,45-49,M,2584.0
2020,female,45-49,S,1536.0
2020,female,45-49,W,71.0
2020,female,45-49,V,1022.0
2020,male,50-54,M,4460.0
2020,male,50-54,S,5378.0
2020,male,50-54,W,118.0
2020,male,50-54,V,2698.0
2020,female,50-54,M,3790.0
2020,female,50-54,S,1789.0
2020,female,50-54,W,185.0
2020,female,50-54,V,1356.0
2020,male,55-59,M,7518.0
2020,male,55-59,S,6619.0
2020,male,55-59,W,263.0
2020,male,55-59,V,4040.0
2020,female,55-59,M,5135.0
2020,female,55-59,S,1776.0
2020,female,55-59,W,448.0
2020,female,55-59,V,1659.0
2020,male,60-64,M,13364.0
2020,male,60-64,S,8362.0
2020,male,60-64,W,718.0
2020,male,60-64,V,5549.0
2020,female,60-64,M,7411.0
2020,female,60-64,S,1829.0
2020,female,60-64,W,1094.0
2020,female,60-64,V,2121.0
2020,male,65-69,M,27474.0
2020,male,65-69,S,12123.0
2020,male,65-69,W,2355.0
2020,male,65-69,V,8932.0
2020,female,65-69,M,12945.0
2020,female,65-69,S,2438.0
2020,female,65-69,W,3153.0
2020,female,65-69,V,3448.0
2020,male,70-74,M,52446.0
2020,male,70-74,S,13579.0
2020,male,70-74,W,5996.0
2020,male,70-74,V,12748.0
2020,female,70-74,M,21125.0
2020,female,70-74,S,3422.0
2020,female,70-74,W,8952.0
2020,female,70-74,V,5688.0
2020,male,75-79,M,72382.0
2020,male,75-79,S,8876.0
2020,male,75-79,W,11965.0
2020,male,75-79,V,11048.0
2020,female,75-79,M,26035.0
2020,female,75-79,S,3904.0
2020,female,75-79,W,21399.0
2020,female,75-79,V,6392.0
2020,male,80+,M,242176.0
2020,male,80+,S,9807.0
2020,male,80+,W,116111.0
2020,male,80+,V,15098.0
2020,female,80+,M,67333.0
2020,female,80+,S,23866.0
2020,female,80+,W,387960.0
2020,female,80+,V,25064.0
2019,male,15-19,M,0.0
2019,male,15-19,S,771.0
2019,male,15-19,W,0.0
2019,male,15-19,V,0.0
2019,female,15-19,M,0.0
2019,female,15-19,S,405.0
2019,female,15-19,W,0.0
2019,female,15-19,V,1.0
2019,male,20-24,M,49.0
2019,male,20-24,S,1359.0
2019,male,20-24,W,0.0
2019,male,20-24,V,20.0
2019,female,20-24,M,31.0
2019,female,20-24,S,565.0
2019,female,20-24,W,1.0
2019,female,20-24,V,15.0
2019,male,25-29,M,149.0
2019,male,25-29,S,1173.0
2019,male,25-29,W,1.0
2019,male,25-29,V,45.0
2019,female,25-29,M,121.0
2019,female,25-29,S,509.0
2019,female,25-29,W,3.0
2019,female,25-29,V,49.0
2019,male,30-34,M,371.0
2019,male,30-34,S,1402.0
2019,male,30-34,W,9.0
2019,male,30-34,V,172.0
2019,female,30-34,M,289.0
2019,female,30-34,S,602.0
2019,female,30-34,W,4.0
2019,female,30-34,V,119.0
2019,male,35-39,M,804.0
2019,male,35-39,S,1680.0
2019,male,35-39,W,13.0
2019,male,35-39,V,349.0
2019,female,35-39,M,703.0
2019,female,35-39,S,674.0
2019,female,35-39,W,9.0
2019,female,35-39,V,238.0
2019,male,40-44,M,1534.0
2019,male,40-44,S,2522.0
2019,male,40-44,W,24.0
2019,male,40-44,V,787.0
2019,female,40-44,M,1374.0
2019,female,40-44,S,1033.0
2019,female,40-44,W,33.0
2019,female,40-44,V,481.0
2019,male,45-49,M,2926.0
2019,male,45-49,S,4129.0
2019,male,45-49,W,69.0
2019,male,45-49,V,1655.0
2019,female,45-49,M,2615.0
2019,female,45-49,S,1567.0
2019,female,45-49,W,95.0
2019,female,45-49,V,941.0
2019,male,50-54,M,4609.0
2019,male,50-54,S,5293.0
2019,male,50-54,W,149.0
2019,male,50-54,V,2564.0
2019,female,50-54,M,3697.0
2019,female,50-54,S,1693.0
2019,female,50-54,W,184.0
2019,female,50-54,V,1310.0
2019,male,55-59,M,7646.0
2019,male,55-59,S,6394.0
2019,male,55-59,W,304.0
2019,male,55-59,V,3877.0
2019,female,55-59,M,5332.0
2019,female,55-59,S,1727.0
2019,female,55-59,W,440.0
2019,female,55-59,V,1610.0
2019,male,60-64,M,14147.0
2019,male,60-64,S,8594.0
2019,male,60-64,W,801.0
2019,male,60-64,V,5599.0
2019,female,60-64,M,7930.0
2019,female,60-64,S,1761.0
2019,female,60-64,W,1100.0
2019,female,60-64,V,2131.0
2019,male,65-69,M,30348.0
2019,male,65-69,S,12929.0
2019,male,65-69,W,2554.0
2019,male,65-69,V,9327.0
2019,female,65-69,M,14236.0
2019,female,65-69,S,2624.0
2019,female,65-69,W,3531.0
2019,female,65-69,V,3837.0
2019,male,70-74,M,50823.0
2019,male,70-74,S,11937.0
2019,male,70-74,W,5770.0
2019,male,70-74,V,11936.0
2019,female,70-74,M,19954.0
2019,female,70-74,S,3325.0
2019,female,70-74,W,8832.0
2019,female,70-74,V,5244.0
2019,male,75-79,M,73290.0
2019,male,75-79,S,8577.0
2019,male,75-79,W,12148.0
2019,male,75-79,V,11032.0
2019,female,75-79,M,26210.0
2019,female,75-79,S,4013.0
2019,female,75-79,W,22223.0
2019,female,75-79,V,6154.0
2019,male,80+,M,241290.0
2019,male,80+,S,9165.0
2019,male,80+,W,117286.0
2019,male,80+,V,14325.0
2019,female,80+,M,66290.0
2019,female,80+,S,24589.0
2019,female,80+,W,394447.0
2019,female,80+,V,24840.0
2018,male,15-19,M,1.0
2018,male,15-19,S,743.0
2018,male,15-19,W,0.0
2018,male,15-19,V,3.0
2018,female,15-19,M,1.0
2018,female,15-19,S,394.0
2018,female,15-19,W,0.0
2018,female,15-19,V,1.0
2018,male,20-24,M,49.0
2018,male,20-24,S,1334.0
2018,male,20-24,W,0.0
2018,male,20-24,V,22.0
2018,female,20-24,M,23.0
2018,female,20-24,S,565.0
2018,female,20-24,W,1.0
2018,female,20-24,V,10.0
2018,male,25-29,M,155.0
2018,male,25-29,S,1294.0
2018,male,25-29,W,1.0
2018,male,25-29,V,66.0
2018,female,25-29,M,110.0
2018,female,25-29,S,544.0
2018,female,25-29,W,0.0
2018,female,25-29,V,43.0
2018,male,30-34,M,455.0
2018,male,30-34,S,1432.0
2018,male,30-34,W,5.0
2018,male,30-34,V,168.0
2018,female,30-34,M,353.0
2018,female,30-34,S,581.0
2018,female,30-34,W,7.0
2018,female,30-34,V,107.0
2018,male,35-39,M,825.0
2018,male,35-39,S,1731.0
2018,male,35-39,W,8.0
2018,male,35-39,V,386.0
2018,female,35-39,M,684.0
2018,female,35-39,S,706.0
2018,female,35-39,W,8.0
2018,female,35-39,V,257.0
2018,male,40-44,M,1716.0
2018,male,40-44,S,2675.0
2018,male,40-44,W,28.0
2018,male,40-44,V,810.0
2018,female,40-44,M,1443.0
2018,female,40-44,S,1105.0
2018,female,40-44,W,27.0
2018,female,40-44,V,520.0
2018,male,45-49,M,2966.0
2018,male,45-49,S,4146.0
2018,male,45-49,W,70.0
2018,male,45-49,V,1559.0
2018,female,45-49,M,2582.0
2018,female,45-49,S,1604.0
2018,female,45-49,W,96.0
2018,female,45-49,V,954.0
2018,male,50-54,M,4683.0
2018,male,50-54,S,5056.0
2018,male,50-54,W,119.0
2018,male,50-54,V,2690.0
2018,female,50-54,M,3752.0
2018,female,50-54,S,1674.0
2018,female,50-54,W,203.0
2018,female,50-54,V,1274.0
2018,male,55-59,M,7876.0
2018,male,55-59,S,6181.0
2018,male,55-59,W,309.0
2018,male,55-59,V,3909.0
2018,female,55-59,M,5292.0
2018,female,55-59,S,1588.0
2018,female,55-59,W,532.0
2018,female,55-59,V,1648.0
2018,male,60-64,M,14868.0
2018,male,60-64,S,8593.0
2018,male,60-64,W,883.0
2018,male,60-64,V,5590.0
2018,female,60-64,M,8158.0
2018,female,60-64,S,1844.0
2018,female,60-64,W,1155.0
2018,female,60-64,V,2178.0
2018,male,65-69,M,33793.0
2018,male,65-69,S,13210.0
2018,male,65-69,W,2870.0
2018,male,65-69,V,9952.0
2018,female,65-69,M,15355.0
2018,female,65-69,S,2810.0
2018,female,65-69,W,4114.0
2018,female,65-69,V,4134.0
2018,male,70-74,M,50258.0
2018,male,70-74,S,10620.0
2018,male,70-74,W,5900.0
2018,male,70-74,V,10917.0
2018,female,70-74,M,19729.0
2018,female,70-74,S,3043.0
2018,female,70-74,W,8974.0
2018,female,70-74,V,4947.0
2018,male,75-79,M,71261.0
2018,male,75-79,S,7827.0
2018,male,75-79,W,11972.0
2018,male,75-79,V,9994.0
2018,female,75-79,M,25548.0
2018,female,75-79,S,3755.0
2018,female,75-79,W,22028.0
2018,female,75-79,V,5744.0
2018,male,80+,M,238483.0
2018,male,80+,S,8593.0
2018,male,80+,W,114083.0
2018,male,80+,V,13264.0
2018,female,80+,M,65230.0
2018,female,80+,S,24448.0
2018,female,80+,W,385720.0
2018,female,80+,V,23764.0
2017,male,15-19,M,3.0
2017,male,15-19,S,805.0
2017,male,15-19,W,0.0
2017,male,15-19,V,2.0
2017,female,15-19,M,0.0
2017,female,15-19,S,350.0
2017,female,15-19,W,0.0
2017,female,15-19,V,0.0
2017,male,20-24,M,48.0
2017,male,20-24,S,1395.0
2017,male,20-24,W,1.0
2017,male,20-24,V,24.0
2017,female,20-24,M,18.0
2017,female,20-24,S,528.0
2017,female,20-24,W,0.0
2017,female,20-24,V,8.0
2017,male,25-29,M,163.0
2017,male,25-29,S,1321.0
2017,male,25-29,W,1.0
2017,male,25-29,V,59.0
2017,female,25-29,M,110.0
2017,female,25-29,S,550.0
2017,female,25-29,W,2.0
2017,female,25-29,V,65.0
