year,sex,age,state,value
1955,female,70-74,M,202230.0
1955,female,70-74,W,580512.0
1955,female,70-74,V,9606.0
1955,female,75-79,S,4207.0
1955,female,75-79,M,78383.0
1955,female,75-79,W,445573.0
1955,female,75-79,V,5471.0
1955,female,80+,S,2092.0
1955,female,80+,M,20499.0
1955,female,80+,W,313749.0
1955,female,80+,V,2696.0
1960,male,15-19,S,4704144.0
1960,male,15-19,M,8061.0
1960,male,15-19,W,548.0
1960,male,15-19,V,244.0
1960,male,20-24,S,3810241.0
1960,male,20-24,M,343400.0
1960,male,20-24,W,1187.0
1960,male,20-24,V,4534.0
1960,male,25-29,S,1903699.0
1960,male,25-29,M,2196151.0
1960,male,25-29,W,4394.0
1960,male,25-29,V,24190.0
1960,male,30-34,S,374583.0
1960,male,30-34,M,3346625.0
1960,male,30-34,W,9545.0
1960,male,30-34,V,42367.0
1960,male,35-39,S,101484.0
1960,male,35-39,M,2628743.0
1960,male,35-39,W,13067.0
1960,male,35-39,V,38874.0
1960,male,40-44,S,46482.0
1960,male,40-44,M,2191694.0
1960,male,40-44,W,19136.0
1960,male,40-44,V,33212.0
1960,male,45-49,S,31651.0
1960,male,45-49,M,2168129.0
1960,male,45-49,W,38105.0
1960,male,45-49,V,33601.0
1960,male,50-54,S,23285.0
1960,male,50-54,M,1926086.0
1960,male,50-54,W,72776.0
1960,male,50-54,V,31142.0
1960,male,55-59,S,18793.0
1960,male,55-59,M,1640706.0
1960,male,55-59,W,126575.0
1960,male,55-59,V,26961.0
1960,male,60-64,S,13735.0
1960,male,60-64,M,1239613.0
1960,male,60-64,W,171610.0
1960,male,60-64,V,21492.0
1960,male,65-69,S,9004.0
1960,male,65-69,M,820400.0
1960,male,65-69,W,190961.0
1960,male,65-69,V,14465.0
1960,male,70-74,S,6283.0
1960,male,70-74,M,489894.0
1960,male,70-74,W,193080.0
1960,male,70-74,V,9258.0
1960,male,75-79,S,3790.0
1960,male,75-79,M,221001.0
1960,male,75-79,W,150225.0
1960,male,75-79,V,4662.0
1960,male,80+,S,2399.0
1960,male,80+,M,96124.0
1960,male,80+,W,126576.0
1960,male,80+,V,2482.0
1960,female,15-19,S,4600539.0
1960,female,15-19,M,62035.0
1960,female,15-19,W,1309.0
1960,female,15-19,V,1120.0
1960,female,20-24,S,2888067.0
1960,female,20-24,M,1319303.0
1960,female,20-24,W,4031.0
1960,female,20-24,V,18592.0
1960,female,25-29,S,899350.0
1960,female,25-29,M,3165896.0
1960,female,25-29,W,18101.0
1960,female,25-29,V,66520.0
1960,female,30-34,S,356380.0
1960,female,30-34,M,3269183.0
1960,female,30-34,W,56197.0
1960,female,30-34,V,119211.0
1960,female,35-39,S,179834.0
1960,female,35-39,M,2833054.0
1960,female,35-39,W,152121.0
1960,female,35-39,V,134665.0
1960,female,40-44,S,86903.0
1960,female,40-44,M,2253603.0
1960,female,40-44,W,319149.0
1960,female,40-44,V,106530.0
1960,female,45-49,S,54132.0
1960,female,45-49,M,1981039.0
1960,female,45-49,W,456173.0
1960,female,45-49,V,87044.0
1960,female,50-54,S,35878.0
1960,female,50-54,M,1588933.0
